NOT_FULL_FILL,Please Fill
NOT_FIND_PRODUCT_ALIAS,Could not find any product with alias
NOT_FIND_PRODUCT_ID,Could not find any product with id
ERROR_CHECKOUT, Check out error!
MUST_LOGIN_VOTE,You must login to vote the review!
MUST_LOGIN_PRODUCT,You must login to add this product to cart!
SETTING_GENERAL_SAVE_SUCCESS,General settings have been saved.
SETTING_MAIL_SERVER_SAVE_SUCCESS,Mail server settings have been saved
SETTING_MAIL_TEMPLATE_SAVE_SUCCESS,Mail template settings have been saved
SETTING_PAYMENT_SAVE_SUCCESS,Payment settings have been saved
IMPORT_SAVE_SUCCESS,The import has been created.
IMPORT_NOT_FOUND,Could not find any product with ID
ACCOUNT_UPDATE_SUCCESS,Your account details have been updated.
USER_SAVE_SUCCESS,The user has been saved successfully.
USER_DELETE_SUCCESS,The user has been deleted successfully
USER_ENABLE_SUCCESS,The user has been enabled
USER_DISABLE_SUCCESS,The user has been disabled
REVIEW_UPDATE_SUCCESS,The review has been updated
REVIEW_DELETE_SUCCESS,The review has been deleted